location,lat_coord,long_coord
1,11.71142578,78.06884766
2,12.54638672,78.20068359
3,12.81005859,77.80517578
4,13.20556641,78.50830078
5,13.16162109,77.32177734
6,13.77685547,77.80517578
7,13.07373047,80.13427734
8,14.12841797,79.87060547
9,14.26025391,76.35498047
10,15.05126953,77.62939453
11,15.93017578,78.02490234
12,15.31494141,75.08056641
13,16.45751953,79.91455078
14,16.45751953,80.61767578
15,15.84228516,74.55322266
16,17.20458984,78.28857422
17,17.55615234,78.20068359
18,16.54541016,74.33349609
19,17.86376953,78.46435547
20,17.20458984,80.88134766
21,17.73193359,75.82763672
22,17.73193359,74.02587891
23,19.13818359,77.32177734
24,17.64404297,82.94677734
25,19.57763672,78.50830078
26,18.65478516,73.71826172
27,19.84130859,75.43212891
28,20.23681641,76.97021484
29,19.22607422,73.05908203
30,21.11572266,78.90380859
31,20.85205078,74.77294922
32,20.32470703,72.88330078
33,19.27001953,84.79248047
34,21.24755859,81.49658203
35,21.15966797,72.97119141
36,22.65380859,75.87158203
37,22.91748047,79.21142578
38,21.42333984,83.86962891
39,22.30224609,73.23486328
40,22.87353516,72.57568359
41,21.73095703,85.71533203
42,21.11572266,86.55029297
43,24.01611328,73.63037109
44,24.85107422,74.59716797
45,25.46630859,78.46435547
46,22.82958984,86.28662109
47,25.33447266,74.55322266
48,25.24658203,83.12255859
49,24.76318359,84.35302734
50,26.25732422,80.48583984
51,23.84033203,86.46240234
52,22.60986328,88.22021484
53,27.00439453,77.93701172
54,26.87255859,75.65185547
55,27.22412109,78.15673828
56,27.31201172,77.80517578
57,26.74072266,83.21044922
58,24.01611328,88.26416016
59,26.21337891,85.31982422
60,28.27880859,76.83837891
61,28.80615234,77.14599609
62,28.89404297,79.51904297
63,26.65283203,88.43994141
64,30.25634766,76.83837891
65,26.30126953,89.75830078
66,26.30126953,91.73583984
